Rule,Entropy across targets,Length Following Antecedent,Majority Class
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'White/Black')]",[1.05131594 1.36037057],87,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'Black/Tan')]",[0.92041313 0.9559426 ],54,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'Black')]",[0.98374687 1.56496251],219,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'Brown/White')]",[1.10499517 1.09489863],85,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'Brown Tabby/White')]",[0.29558313 1.30284863],111,['Transfer' 'Snr']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'Torbie')]",[0.41131217 1.37461019],89,['Transfer' 'Snr']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'Brown/Black')]",[1.23122978 1.03935776],52,['Transfer' 'none']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'Tricolor')]",[1.13321441 0.99066553],45,['Transfer' 'none']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'Black/Brown')]",[0.97259726 0.91571153],61,['Return to Owner' 'none']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'White')]",[1.06929561 1.12608706],141,['Transfer' 'none']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'Blue Tabby')]",[0.52818252 1.43194695],38,['Transfer' 'Snr']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'Tortie')]",[0.58243213 1.52385926],137,['Transfer' 'Snr']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'Brown Brindle/White')]",[0.97509806 1.06206183],44,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'Tan/White')]",[1.22888959 1.29159998],88,['Return to Owner' 'none']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'Calico')]",[0.46412675 1.43469298],140,['Transfer' 'Snr']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'White/Brown')]",[1.12489662 0.84371637],57,['Transfer' 'none']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 year'), ('Color', 'White/Tan')]",[0.92901295 0.93575184],44,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '4 months'), ('Color', 'Black/White')]",[0.84959755 1.3902753 ],68,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '4 months'), ('Color', 'Brown Tabby')]",[0.72977472 1.65203162],33,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '4 months'), ('Color', 'Black')]",[0.96649303 1.62022295],41,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '2 weeks'), ('Color', 'Black/White')]",[0.36602519 0.28683598],60,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '2 weeks'), ('Color', 'Brown Tabby')]",[0.05380175 0.05380175],105,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '2 weeks'), ('Color', 'Black')]",[0.36318015 0.38371287],93,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '2 weeks'), ('Color', 'Brown Tabby/White')]",[0.24267348 0.24267348],38,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '2 weeks'), ('Color', 'Torbie')]",[0.43731866 0.47286467],39,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '2 weeks'), ('Color', 'Blue Tabby')]",[0.27711336 0.27711336],32,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '2 weeks'), ('Color', 'Tortie')]",[0.1075094 0.1075094],89,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '2 weeks'), ('Color', 'Calico')]",[0. 0.],61,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '3 weeks'), ('Color', 'Black/White')]",[0.37741093 0.37741093],82,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '3 weeks'), ('Color', 'Brown Tabby')]",[0.17513037 0.17513037],143,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '3 weeks'), ('Color', 'Blue')]",[0.25864093 0.25864093],35,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '3 weeks'), ('Color', 'Orange Tabby')]",[0. 0.],33,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '3 weeks'), ('Color', 'Black')]",[0.28321244 0.29680357],102,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '3 weeks'), ('Color', 'Brown Tabby/White')]",[0.19882158 0.19882158],49,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '3 weeks'), ('Color', 'Torbie')]",[0.08957803 0.08957803],56,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '3 weeks'), ('Color', 'Blue Tabby')]",[0.30570651 0.34106841],54,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '3 weeks'), ('Color', 'Tortie')]",[0.17680875 0.17680875],84,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '3 weeks'), ('Color', 'Calico')]",[0.18750494 0.18750494],78,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '4 weeks'), ('Color', 'Black/White')]",[0.47803912 0.5692427 ],76,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '4 weeks'), ('Color', 'Brown Tabby')]",[0.25184249 0.28026639],101,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '4 weeks'), ('Color', 'Black')]",[0.37499613 0.41595607],116,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '4 weeks'), ('Color', 'Brown Tabby/White')]",[0.4779314 0.4779314],38,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '4 weeks'), ('Color', 'Tortie')]",[0.38131649 0.42905505],40,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '4 weeks'), ('Color', 'Calico')]",[0.28260011 0.31273694],46,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '6 months'), ('Color', 'Black/White')]",[1.1906905  1.20418847],34,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '6 months'), ('Color', 'Brown Tabby')]",[0.51870044 1.44884043],31,['Transfer' 'Snr']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '6 months'), ('Color', 'Black')]",[0.74499936 1.44869027],32,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '6 months'), ('Color', 'Calico')]",[0.65667094 1.36429234],31,['Transfer' 'Snr']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 weeks'), ('Color', 'Black/White')]",[0.36221056 0.57832529],34,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 weeks'), ('Color', 'Brown Tabby')]",[0.12693055 0.12693055],36,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 weeks'), ('Color', 'Black')]",[0.48194047 0.58143567],47,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Intact Female'), ('Age upon Outcome', '1 weeks'), ('Color', 'Tortie')]",[0.23921709 0.28393627],31,['Transfer' 'Partner']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '1 month'), ('Color', 'Black/White')]",[0.13297932 0.73750476],157,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '1 month'), ('Color', 'Brown Tabby')]",[0.         0.68229472],68,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '1 month'), ('Color', 'White/Black')]",[0.19144408 0.84681438],42,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '1 month'), ('Color', 'Black')]",[0.11376925 0.72997997],98,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '1 month'), ('Color', 'Brown/White')]",[0.20898175 0.84707135],46,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '1 month'), ('Color', 'Brown Tabby/White')]",[0.         0.68759674],38,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '1 month'), ('Color', 'Brown/Black')]",[0.11924693 0.7604823 ],39,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '1 month'), ('Color', 'Tricolor')]",[0.08709952 0.76451002],58,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '1 month'), ('Color', 'Black/Brown')]",[0.53498841 1.01638009],45,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '1 month'), ('Color', 'Tortie')]",[0.         0.61724177],39,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '1 month'), ('Color', 'Calico')]",[0.         0.74821021],32,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'Tan')]",[1.12397652 0.66519427],60,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'Brown')]",[1.0182194  0.43616233],38,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'Black/White')]",[1.20760024 1.04323458],184,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'Brown Tabby')]",[1.1048449  1.21815786],50,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'Blue/White')]",[1.42996663 1.19128561],76,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'White/Black')]",[1.08116787 0.86888817],54,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'Black/Tan')]",[0.85588416 0.89394255],57,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'Black')]",[1.03390579 0.8378198 ],117,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'Brown/White')]",[1.10802278 0.56746852],65,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'Brown Tabby/White')]",[1.11843287 1.09145283],35,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'Brown/Black')]",[1.06856673 0.65619279],32,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'Tricolor')]",[1.00273995 0.55865944],51,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'Black/Brown')]",[1.013358  0.7078881],45,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'White')]",[1.09668756 0.87643586],88,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'Tortie')]",[1.20887628 1.19191277],39,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'Brown Brindle/White')]",[1.10476762 1.02804764],45,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'Tan/White')]",[1.10212708 0.74281232],75,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'Calico')]",[0.94018473 0.88975736],51,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'White/Brown')]",[1.03610597 0.48257757],32,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '4 years'), ('Color', 'White/Tan')]",[1.04920023 0.91908286],46,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Tan')]",[1.18997092 1.01401913],94,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Brown')]",[1.0712328  0.65838168],69,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Red')]",[0.88231092 0.24493003],30,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Black/White')]",[1.1017192  0.96500869],322,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Brown Tabby')]",[1.03132459 1.11803078],89,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Blue/White')]",[1.067419   0.86430881],154,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Blue')]",[0.94686967 0.82799902],46,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'White/Black')]",[1.00662652 0.80686572],96,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Black/Tan')]",[0.95845682 0.72457351],90,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Black')]",[1.22726626 1.07265787],172,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Brown/White')]",[1.10040343 0.92572562],152,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Brown Tabby/White')]",[0.77400643 0.9389905 ],56,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Torbie')]",[1.07709345 1.22503493],50,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Brown Brindle')]",[0.97307622 1.05731593],45,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Brown/Black')]",[1.1555622  0.90972717],47,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Tricolor')]",[1.10430269 0.80945481],75,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Black/Brown')]",[1.00200255 0.76965687],67,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'White')]",[1.03516577 0.64485811],144,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Tortie')]",[1.14109812 1.33752446],60,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Brown Brindle/White')]",[1.2163622  0.89281575],61,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Tan/White')]",[1.0243262  0.85098748],121,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Red/White')]",[0.92560052 0.85189652],42,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'Calico')]",[1.21422715 0.93341012],88,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'White/Brown')]",[0.99926364 0.76587919],78,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '3 years'), ('Color', 'White/Tan')]",[1.05834865 0.74519469],67,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'Tan')]",[1.24380342 1.04356388],72,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'Brown')]",[1.2119624  1.13694406],53,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'Black/White')]",[1.14672265 0.87162237],171,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'Brown Tabby')]",[1.17956062 1.56887026],38,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'Blue/White')]",[1.24484555 0.90914403],73,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'White/Black')]",[1.36787012 1.05718805],53,['Return to Owner' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'Black/Tan')]",[1.13128948 0.79044056],46,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'Black')]",[1.15338346 1.05152296],112,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'Brown/White')]",[1.0459396  0.74383505],69,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'Tricolor')]",[0.88531409 0.4104826 ],47,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'Black/Brown')]",[1.20587243 0.73640806],41,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'White')]",[1.00697972 0.8186116 ],90,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'Tortie')]",[0.99330683 1.0637083 ],41,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'Brown Brindle/White')]",[1.21669862 0.89336991],41,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'Tan/White')]",[0.95434624 0.85056069],79,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'Red/White')]",[0.99263482 0.71947781],33,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'Calico')]",[1.01611131 1.07917398],45,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '5 years'), ('Color', 'White/Brown')]",[1.16684188 0.85610046],45,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Seal Point')]",[0.         0.69268797],33,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Tan')]",[0.22696752 0.760065  ],150,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Brown')]",[0.30461089 0.64528414],125,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Red')]",[0.29744494 0.22035233],43,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Black/White')]",[0.22705891 0.80287167],906,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Brown Tabby')]",[0.17997458 0.80418851],829,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Blue/White')]",[0.1379526  0.65095103],150,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Blue')]",[0.1207011 0.8151315],192,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'White/Black')]",[0.18283659 0.82362588],201,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Orange Tabby')]",[0.1805687  0.87072698],189,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Black/Tan')]",[0.21209255 0.71543102],128,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Black')]",[0.1681746  0.77649857],749,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Brown/White')]",[0.30873686 0.58430568],186,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'White/Blue')]",[0.11466528 0.79458245],41,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Brown Tabby/White')]",[0.15853405 0.80820342],396,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Torbie')]",[0.13389946 0.80030475],367,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Brown Brindle')]",[0.32265969 0.51377301],58,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Brown/Black')]",[0.34426188 0.77632567],135,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Tricolor')]",[0.21903252 0.85339768],175,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Black/Brown')]",[0.11251593 0.72382775],126,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'White')]",[0.25473055 0.86994495],142,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Cream Tabby')]",[0.07319013 0.81968085],72,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Orange Tabby/White')]",[0.16184273 0.85989996],105,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Blue Tabby')]",[0.11736677 0.82004397],199,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Tortie')]",[0.1554545  0.87344254],474,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Calico/White')]",[0.         0.68490624],39,['Adoption' 'Foster']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Tan/Black')]",[0.13845986 0.42835832],77,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Brown Brindle/White')]",[0.18895416 0.81266392],101,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Tan/White')]",[0.20270029 0.69388211],175,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Chocolate/White')]",[0.23921709 0.86012159],31,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Red/White')]",[0.12425084 0.28140184],37,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Calico')]",[0.14301346 0.85702404],432,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Torbie/White')]",[0.         0.69206512],86,['Adoption' 'Foster']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'White/Brown')]",[0.17680875 0.82201933],84,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Blue Tabby/White')]",[0.10847134 0.7535302 ],132,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Cream')]",[0.11924693 0.61724177],39,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'White/Brown Tabby')]",[0.17884491 0.8259567 ],46,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Lynx Point')]",[0.06586094 0.75047982],82,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'White/Tan')]",[0.19851524 0.60021883],60,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Sable')]",[0.14250587 1.04579029],31,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'White/Brown Brindle')]",[0.23921709 0.74996257],31,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '2 months'), ('Color', 'Tortie/White')]",[0.12693055 0.86624633],36,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '10 months'), ('Color', 'Tan')]",[0.49535988 0.658031  ],33,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '10 months'), ('Color', 'Black/White')]",[0.62741508 0.754947  ],101,['Adoption' 'none']
"[('Sex upon Outcome', 'Spayed Female'), ('Age upon Outcome', '10 months'), ('Color', 'White/Black')]",[0.14250587 0.52251342],31,['Adoption' 'none']
